Identifiant,Espece,Age,Hauteur (m),Diametre (cm),Volume (m3),Sante (/10)
AR001,Pin,38,"49,4",90,"6,28",9
AR002,Erable,19,"15,2","31,92","0,24",8
AR003,Hetre,28,"23,8","49,98","0,93",8
AR004,Chene,26,"19,5","29,25","0,26",2
AR005,Chene,49,"36,75","77,18","3,44",7
AR006,Erable,32,"25,6","46,08","0,85",5
AR007,Erable,12,"9,6","14,4","0,03",5
AR008,Hetre,56,"47,6","80,92","4,89",1
AR009,Erable,45,36,"61,2","2,12",9
AR010,Hetre,27,"22,95","48,2","0,84",7
AR011,Erable,51,"40,8","69,36","3,08",6
AR012,Pin,15,"19,5","29,25","0,26",1
AR013,Pin,73,63,"94,5","8,83",2
AR014,Bouleau,74,65,"97,5","9,7",8
AR015,Erable,10,8,"12,8","0,02",7
AR016,Pin,22,"28,6","48,62","1,06",5
AR017,Sapin,49,66,99,"10,16",3
AR018,Hetre,39,"33,15","59,67","1,85",1
AR019,Hetre,34,"28,9","49,13","1,1",5
AR020,Sapin,32,"46,4","78,88","4,53",9
AR021,Hetre,61,"51,85","108,89","9,65",8
AR022,Chene,11,"8,25","15,68","0,03",4
AR023,Sapin,41,"59,45",94,"8,25",7
AR024,Chene,10,"7,5",12,"0,02",7
AR025,Hetre,57,"48,45","96,9","7,14",9
AR026,Erable,54,"43,2","82,08","4,57",6
AR027,Chene,29,"21,75","36,98","0,47",3
AR028,Pin,39,"50,7","76,05","4,6",4
AR029,Erable,15,12,"25,2","0,12",2
AR030,Pin,21,"27,3","54,6","1,28",4
AR031,Hetre,48,"40,8","85,68","4,7",8
AR032,Hetre,22,"18,7","29,92","0,26",1
AR033,Sapin,22,"31,9","60,61","1,84",7
AR034,Hetre,40,34,68,"2,47",4
AR035,Chene,18,"13,5","20,25","0,09",7
AR036,Hetre,25,"21,25","36,13","0,44",3
AR037,Erable,72,"57,6","92,16","7,68",8
AR038,Chene,19,"14,25","25,65","0,15",8
AR039,Hetre,19,"16,15","24,23","0,15",9
AR040,Erable,26,"20,8","43,68","0,62",9
AR041,Hetre,76,63,"94,5","8,83",6
AR042,Chene,66,"49,5","84,15","5,5",1
AR043,Chene,34,"25,5","43,35","0,75",3
AR044,Erable,47,"37,6","67,68","2,7",3
AR045,Erable,65,52,"109,2","9,74",6
AR046,Hetre,23,"19,55","35,19","0,38",2
AR047,Erable,72,"57,6",107,"10,35",1
AR048,Hetre,79,60,114,"12,24",7
AR049,Pin,18,"23,4","46,8","0,8",9
AR050,Pin,70,68,106,12,6
